forecast_horizon_months,n,median_R,P25_R,P75_R,min_R,max_R,median_RMSE_mm,P25_RMSE_mm,P75_RMSE_mm,min_RMSE_mm,max_RMSE_mm
6,5,0.2127596806576312,-0.17183199448281214,0.5405355807823934,-0.666602228478575,0.8009622353473721,20.754610592522543,13.096908187826207,23.250847819780436,5.825076508310863,31.752682906259665
12,5,0.813469880730244,0.7992968217270269,0.9652316484904968,0.4849933748327488,0.9682812224796671,26.003196867004963,15.27935144640223,36.166230565129105,14.003491077598305,66.2568335532792
18,5,0.8744948598616556,0.7903913593920195,0.9502301640179911,0.784240623572041,0.9641045013751844,27.93085076261019,18.03643836911961,37.29460239245929,14.400981520349212,67.51791362909361
24,5,0.8423309009998192,0.7953995994777079,0.8873248133152651,0.7617028449374977,0.8953793813642879,33.63694280814772,25.577647899357572,48.61476523687499,14.814859082430555,63.07182314621494
30,5,0.8371528123656798,0.7530042607757151,0.8539426768176938,0.6113894043950507,0.8989728405151174,33.293083279710686,30.59245471790947,53.36208934747974,17.393414395589026,59.42067799832485
36,5,0.832194682461033,0.6546396829111677,0.8542988394530062,0.4895816871645274,0.8671595530514662,41.68257485691389,36.518282185424184,52.16405056465355,31.253218796690906,54.75257742879035
42,5,0.7997351348947039,0.7233655467576766,0.8467468123885298,0.5644747756024324,0.866172096502717,46.490890708958595,34.327207832788666,50.97859394626598,33.76180279547751,52.13839679581117
48,5,0.7384842370568251,0.7045892223398943,0.8410033160515163,0.6230892684421375,0.8537262265134953,46.90273898893513,37.54863716533122,48.10244339142821,33.10706693115986,49.19336127579545
54,5,0.7431868558164008,0.6922242128913697,0.7713679278810062,0.6788525943862391,0.8619388554733314,46.17376091349663,35.99206089088728,46.27086248296183,32.75286309477331,49.679848493599046
60,5,0.7088656660151953,0.6899498123526777,0.7490775205835926,0.6776689402475584,0.8655801693384905,44.21112438554234,35.313332195967284,44.28825771727766,31.44887168776937,50.90891966050735
66,5,0.720226393764332,0.6779931342166448,0.7602870109534955,0.6767667165866709,0.7866318848408147,42.9036020795535,35.21210714694088,45.30281802701963,30.821311445868893,48.95353153652274
72,5,0.7391923665533697,0.7079338098709954,0.7519990246225344,0.6706893510400271,0.7541933976872741,41.50334845874906,35.0477307124166,46.48521031800109,31.80936311452577,47.62667174447498
78,5,0.7185922164434986,0.6838498836500146,0.7254765169330565,0.6744520414271571,0.749756438224198,42.965868226544316,34.76143995651442,45.02951093913767,32.05997716534736,46.66939083611667
84,5,0.7096562478100827,0.6689504909703046,0.721400472106926,0.6475129341918128,0.7642847282997802,44.02084231061506,35.07492383599135,44.5992085018236,31.705009956729093,45.972230807779596
