date,year,scenario,risk_index,indicator
2026-12-01,2026,ssp126,-1.1225937146305205,risk_deficit_cumulative_z
2027-12-01,2027,ssp126,-0.9295384798136408,risk_deficit_cumulative_z
2028-12-01,2028,ssp126,-0.9295384798136408,risk_deficit_cumulative_z
2029-12-01,2029,ssp126,-0.9145085355912244,risk_deficit_cumulative_z
2030-12-01,2030,ssp126,-0.4237219501592673,risk_deficit_cumulative_z
2031-12-01,2031,ssp126,-0.1234056178621406,risk_deficit_cumulative_z
2032-12-01,2032,ssp126,0.0172035451627381,risk_deficit_cumulative_z
2033-12-01,2033,ssp126,0.2676078314702445,risk_deficit_cumulative_z
2034-12-01,2034,ssp126,0.3198721943852382,risk_deficit_cumulative_z
2035-12-01,2035,ssp126,0.3713012127581149,risk_deficit_cumulative_z
2036-12-01,2036,ssp126,0.3735674189512866,risk_deficit_cumulative_z
2037-12-01,2037,ssp126,0.4433825873229768,risk_deficit_cumulative_z
2038-12-01,2038,ssp126,0.5234560930657169,risk_deficit_cumulative_z
2039-12-01,2039,ssp126,0.6392975317755298,risk_deficit_cumulative_z
2040-12-01,2040,ssp126,1.4650946524453698,risk_deficit_cumulative_z
2041-12-01,2041,ssp126,1.6212627902511607,risk_deficit_cumulative_z
2042-12-01,2042,ssp126,1.666799596508321,risk_deficit_cumulative_z
2043-12-01,2043,ssp126,1.685033670348486,risk_deficit_cumulative_z
2044-12-01,2044,ssp126,2.027702728715008,risk_deficit_cumulative_z
2045-12-01,2045,ssp126,2.36160491448473,risk_deficit_cumulative_z
2046-12-01,2046,ssp126,2.373874110389228,risk_deficit_cumulative_z
2047-12-01,2047,ssp126,2.373874110389228,risk_deficit_cumulative_z
2048-12-01,2048,ssp126,2.387058483905865,risk_deficit_cumulative_z
2049-12-01,2049,ssp126,2.387058483905865,risk_deficit_cumulative_z
2050-12-01,2050,ssp126,2.387058483905865,risk_deficit_cumulative_z
2051-12-01,2051,ssp126,2.6908330853648748,risk_deficit_cumulative_z
2052-12-01,2052,ssp126,2.7550427245584483,risk_deficit_cumulative_z
2053-12-01,2053,ssp126,2.7550427245584483,risk_deficit_cumulative_z
2054-12-01,2054,ssp126,2.8264831353509083,risk_deficit_cumulative_z
2055-12-01,2055,ssp126,2.989709116672233,risk_deficit_cumulative_z
2056-12-01,2056,ssp126,2.99047045254738,risk_deficit_cumulative_z
2057-12-01,2057,ssp126,3.2022792162173856,risk_deficit_cumulative_z
2058-12-01,2058,ssp126,4.227534626847138,risk_deficit_cumulative_z
2059-12-01,2059,ssp126,4.325795885442996,risk_deficit_cumulative_z
2060-12-01,2060,ssp126,4.378124875008051,risk_deficit_cumulative_z
2061-12-01,2061,ssp126,4.401913837908554,risk_deficit_cumulative_z
2062-12-01,2062,ssp126,4.441443962866977,risk_deficit_cumulative_z
2063-12-01,2063,ssp126,4.479616219975634,risk_deficit_cumulative_z
2064-12-01,2064,ssp126,4.523527340886203,risk_deficit_cumulative_z
2065-12-01,2065,ssp126,4.695146829117911,risk_deficit_cumulative_z
2066-12-01,2066,ssp126,4.728230602639538,risk_deficit_cumulative_z
2067-12-01,2067,ssp126,4.728230602639538,risk_deficit_cumulative_z
2068-12-01,2068,ssp126,5.310583114621455,risk_deficit_cumulative_z
2069-12-01,2069,ssp126,5.706901628813639,risk_deficit_cumulative_z
2070-12-01,2070,ssp126,5.858980957572751,risk_deficit_cumulative_z
2071-12-01,2071,ssp126,5.896591629497739,risk_deficit_cumulative_z
2072-12-01,2072,ssp126,6.038163207859196,risk_deficit_cumulative_z
2073-12-01,2073,ssp126,6.04984520166895,risk_deficit_cumulative_z
2074-12-01,2074,ssp126,6.04984520166895,risk_deficit_cumulative_z
2075-12-01,2075,ssp126,6.435550433470759,risk_deficit_cumulative_z
2076-12-01,2076,ssp126,7.256099380242628,risk_deficit_cumulative_z
2077-12-01,2077,ssp126,7.272939364348677,risk_deficit_cumulative_z
2078-12-01,2078,ssp126,7.288551336561222,risk_deficit_cumulative_z
2079-12-01,2079,ssp126,7.692907863469632,risk_deficit_cumulative_z
2080-12-01,2080,ssp126,7.93185448358596,risk_deficit_cumulative_z
2081-12-01,2081,ssp126,7.960860544246402,risk_deficit_cumulative_z
2082-12-01,2082,ssp126,7.989621850456249,risk_deficit_cumulative_z
2083-12-01,2083,ssp126,8.145637417558845,risk_deficit_cumulative_z
2084-12-01,2084,ssp126,8.285464860482508,risk_deficit_cumulative_z
2085-12-01,2085,ssp126,8.809977464097154,risk_deficit_cumulative_z
2086-12-01,2086,ssp126,8.81207958743695,risk_deficit_cumulative_z
2087-12-01,2087,ssp126,8.862407231287996,risk_deficit_cumulative_z
2088-12-01,2088,ssp126,9.00704741185806,risk_deficit_cumulative_z
2089-12-01,2089,ssp126,9.085740128479294,risk_deficit_cumulative_z
2090-12-01,2090,ssp126,9.521136714247357,risk_deficit_cumulative_z
2091-12-01,2091,ssp126,9.543316964233425,risk_deficit_cumulative_z
2092-12-01,2092,ssp126,9.543316964233425,risk_deficit_cumulative_z
2093-12-01,2093,ssp126,9.638867060013444,risk_deficit_cumulative_z
2094-12-01,2094,ssp126,9.863857704443893,risk_deficit_cumulative_z
2095-12-01,2095,ssp126,9.98209905521758,risk_deficit_cumulative_z
2096-12-01,2096,ssp126,9.983310904339058,risk_deficit_cumulative_z
2097-12-01,2097,ssp126,9.983310904339058,risk_deficit_cumulative_z
2098-12-01,2098,ssp126,9.983310904339058,risk_deficit_cumulative_z
2099-12-01,2099,ssp126,10.903066323538802,risk_deficit_cumulative_z
2100-12-01,2100,ssp126,11.280503881784824,risk_deficit_cumulative_z
2026-12-01,2026,ssp245,-1.406885330091389,risk_deficit_cumulative_z
2027-12-01,2027,ssp245,-1.3443501609376682,risk_deficit_cumulative_z
2028-12-01,2028,ssp245,-1.3443501609376682,risk_deficit_cumulative_z
2029-12-01,2029,ssp245,-1.3443501609376682,risk_deficit_cumulative_z
2030-12-01,2030,ssp245,-1.205302530638926,risk_deficit_cumulative_z
2031-12-01,2031,ssp245,-1.1061194433383368,risk_deficit_cumulative_z
2032-12-01,2032,ssp245,-1.0770748196483992,risk_deficit_cumulative_z
2033-12-01,2033,ssp245,-1.01653003372517,risk_deficit_cumulative_z
2034-12-01,2034,ssp245,-1.0091210485599074,risk_deficit_cumulative_z
2035-12-01,2035,ssp245,-0.8655823013020474,risk_deficit_cumulative_z
2036-12-01,2036,ssp245,-0.6492882019484563,risk_deficit_cumulative_z
2037-12-01,2037,ssp245,-0.3785681091656678,risk_deficit_cumulative_z
2038-12-01,2038,ssp245,-0.2034514665553284,risk_deficit_cumulative_z
2039-12-01,2039,ssp245,0.0651572039230227,risk_deficit_cumulative_z
2040-12-01,2040,ssp245,0.5525058892837655,risk_deficit_cumulative_z
2041-12-01,2041,ssp245,0.6748310017860555,risk_deficit_cumulative_z
2042-12-01,2042,ssp245,0.691134461382283,risk_deficit_cumulative_z
2043-12-01,2043,ssp245,0.7961961187797404,risk_deficit_cumulative_z
2044-12-01,2044,ssp245,0.8925437962984326,risk_deficit_cumulative_z
2045-12-01,2045,ssp245,1.642966044547495,risk_deficit_cumulative_z
2046-12-01,2046,ssp245,2.549207204162977,risk_deficit_cumulative_z
2047-12-01,2047,ssp245,3.1301256509341155,risk_deficit_cumulative_z
2048-12-01,2048,ssp245,3.130621938304883,risk_deficit_cumulative_z
2049-12-01,2049,ssp245,3.153703725557014,risk_deficit_cumulative_z
2050-12-01,2050,ssp245,3.4002377743155066,risk_deficit_cumulative_z
2051-12-01,2051,ssp245,3.615071864274363,risk_deficit_cumulative_z
2052-12-01,2052,ssp245,3.724615643781061,risk_deficit_cumulative_z
2053-12-01,2053,ssp245,3.978591234062446,risk_deficit_cumulative_z
2054-12-01,2054,ssp245,4.078967323645819,risk_deficit_cumulative_z
2055-12-01,2055,ssp245,4.522569012261868,risk_deficit_cumulative_z
2056-12-01,2056,ssp245,5.557159534387886,risk_deficit_cumulative_z
2057-12-01,2057,ssp245,5.648360584524478,risk_deficit_cumulative_z
2058-12-01,2058,ssp245,5.648360584524478,risk_deficit_cumulative_z
2059-12-01,2059,ssp245,5.73360780029409,risk_deficit_cumulative_z
2060-12-01,2060,ssp245,6.088062740291014,risk_deficit_cumulative_z
2061-12-01,2061,ssp245,7.603713879179707,risk_deficit_cumulative_z
2062-12-01,2062,ssp245,8.270271849706427,risk_deficit_cumulative_z
2063-12-01,2063,ssp245,8.697899510237514,risk_deficit_cumulative_z
2064-12-01,2064,ssp245,8.80084959076536,risk_deficit_cumulative_z
2065-12-01,2065,ssp245,8.85119309434642,risk_deficit_cumulative_z
2066-12-01,2066,ssp245,9.111521473675168,risk_deficit_cumulative_z
2067-12-01,2067,ssp245,9.316785265794111,risk_deficit_cumulative_z
2068-12-01,2068,ssp245,9.563295438806524,risk_deficit_cumulative_z
2069-12-01,2069,ssp245,9.654161080431232,risk_deficit_cumulative_z
2070-12-01,2070,ssp245,9.675402421251931,risk_deficit_cumulative_z
2071-12-01,2071,ssp245,10.013123069398157,risk_deficit_cumulative_z
2072-12-01,2072,ssp245,10.33846202392112,risk_deficit_cumulative_z
2073-12-01,2073,ssp245,10.483286078716864,risk_deficit_cumulative_z
2074-12-01,2074,ssp245,10.731989788646978,risk_deficit_cumulative_z
2075-12-01,2075,ssp245,10.731989788646978,risk_deficit_cumulative_z
2076-12-01,2076,ssp245,10.829261229481268,risk_deficit_cumulative_z
2077-12-01,2077,ssp245,11.04204838963041,risk_deficit_cumulative_z
2078-12-01,2078,ssp245,11.224950475943304,risk_deficit_cumulative_z
2079-12-01,2079,ssp245,11.255347785938046,risk_deficit_cumulative_z
2080-12-01,2080,ssp245,11.383629266684263,risk_deficit_cumulative_z
2081-12-01,2081,ssp245,11.39126760836858,risk_deficit_cumulative_z
2082-12-01,2082,ssp245,11.491450954581818,risk_deficit_cumulative_z
