scenario,scenario_label,lat,lon,delta_wb2_median_mm_month,models_matching_median_sign,sign_agreement_fraction,sign_agreement_class
ssp126,SSP1-2.6,35.375,113.875,1.3249161066350528,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,35.375,114.125,1.3249161066350237,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,35.625,113.625,1.324916106635003,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,35.625,113.875,1.3249161066350474,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,35.625,114.125,1.324916106635044,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,35.625,114.375,1.5936678421154928,6,1.0,robust wetting (>=5/6)
ssp126,SSP1-2.6,35.875,113.625,0.5478124953685537,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,35.875,113.875,0.5478124953685519,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,35.875,114.125,0.5611299579730309,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,35.875,114.375,0.658154301029346,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,35.875,114.625,0.9289315872132392,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,35.875,115.125,0.9973901410414364,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.125,113.125,-0.0104100568769354,3,0.5,mixed sign
ssp126,SSP1-2.6,36.125,113.375,-0.0046125434926089,3,0.5,mixed sign
ssp126,SSP1-2.6,36.125,113.625,-0.0046125434928203,3,0.5,mixed sign
ssp126,SSP1-2.6,36.125,113.875,0.0458401286806022,3,0.5,mixed sign
ssp126,SSP1-2.6,36.125,114.125,0.1299279142118923,3,0.5,mixed sign
ssp126,SSP1-2.6,36.125,114.375,0.4884354362650525,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.125,114.625,0.8469429583187233,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.125,114.875,0.8469429583186381,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.125,115.125,0.8469429583186177,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.125,115.375,1.052371856624804,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,36.125,115.625,1.0180856691135558,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,36.125,115.875,0.8278637241260736,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,36.375,112.625,-0.0568568209975115,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.375,112.875,-0.0570146615729472,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.375,113.125,-0.0757319439941026,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.375,113.375,-0.0704079782516053,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.375,113.625,-0.0710394052270606,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.375,113.875,-0.0947463872488381,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.375,114.125,-0.096403797172659,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.375,114.375,0.2260570779898962,3,0.5,mixed sign
ssp126,SSP1-2.6,36.375,114.625,0.4313107040565089,3,0.5,mixed sign
ssp126,SSP1-2.6,36.375,114.875,0.4916812825432171,3,0.5,mixed sign
ssp126,SSP1-2.6,36.375,115.125,0.4941993701745613,3,0.5,mixed sign
ssp126,SSP1-2.6,36.375,115.375,0.962510237916292,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.375,115.625,1.01808566911353,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.375,115.875,0.8278637241259954,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.375,116.125,0.8278637241260274,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.625,112.875,-0.0677508813784877,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.625,113.125,-0.086152476135588,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.625,113.375,-0.0803549628425557,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.625,113.625,-0.0803549628427218,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.625,113.875,-0.0947463872489109,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.625,114.125,-0.0964037971727478,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.625,114.375,0.0556742409619932,3,0.5,mixed sign
ssp126,SSP1-2.6,36.625,114.625,-0.0715306454929898,3,0.5,mixed sign
ssp126,SSP1-2.6,36.625,114.875,-0.1704677807307471,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.625,115.125,-0.1704677807307648,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.625,115.375,0.2973394735312231,3,0.5,mixed sign
ssp126,SSP1-2.6,36.625,115.625,0.4059607537443979,3,0.5,mixed sign
ssp126,SSP1-2.6,36.625,115.875,0.2157388087570275,3,0.5,mixed sign
ssp126,SSP1-2.6,36.625,116.125,0.8278637241259021,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.625,116.375,0.7260642557042223,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.625,116.625,0.4206658668417802,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.875,112.875,0.0704196607437257,3,0.5,mixed sign
ssp126,SSP1-2.6,36.875,113.125,-0.0105158554165729,3,0.5,mixed sign
ssp126,SSP1-2.6,36.875,113.375,-0.0113740965395505,3,0.5,mixed sign
ssp126,SSP1-2.6,36.875,113.625,-0.0115505693843509,3,0.5,mixed sign
ssp126,SSP1-2.6,36.875,113.875,-0.0155762254417304,3,0.5,mixed sign
ssp126,SSP1-2.6,36.875,114.125,-0.0154031180256097,3,0.5,mixed sign
ssp126,SSP1-2.6,36.875,114.375,0.0556742409619355,3,0.5,mixed sign
ssp126,SSP1-2.6,36.875,114.625,-0.0715306453544828,3,0.5,mixed sign
ssp126,SSP1-2.6,36.875,114.875,-0.1704677807307471,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.875,115.125,-0.1704677807307204,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.875,115.375,0.2795715537397694,3,0.5,mixed sign
ssp126,SSP1-2.6,36.875,115.625,0.1478346653567586,3,0.5,mixed sign
ssp126,SSP1-2.6,36.875,115.875,0.0176104961287713,3,0.5,mixed sign
ssp126,SSP1-2.6,36.875,116.125,0.6301588656481707,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.875,116.375,0.528359396466219,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.875,116.625,0.222537554213261,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,36.875,116.875,0.3515529510310484,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.125,112.875,0.0993679389493396,3,0.5,mixed sign
ssp126,SSP1-2.6,37.125,113.125,-0.0087236121580911,3,0.5,mixed sign
ssp126,SSP1-2.6,37.125,113.375,-0.0097177982420744,3,0.5,mixed sign
ssp126,SSP1-2.6,37.125,113.625,-0.0097177982420326,3,0.5,mixed sign
ssp126,SSP1-2.6,37.125,113.875,-0.0137840806098736,3,0.5,mixed sign
ssp126,SSP1-2.6,37.125,114.125,-0.0137840806099021,3,0.5,mixed sign
ssp126,SSP1-2.6,37.125,114.375,0.0236420506610306,3,0.5,mixed sign
ssp126,SSP1-2.6,37.125,114.625,-0.103492797788558,3,0.5,mixed sign
ssp126,SSP1-2.6,37.125,114.875,-0.2024299333036872,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.125,115.125,-0.2024999710316581,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.125,115.375,-0.0242270848737726,3,0.5,mixed sign
ssp126,SSP1-2.6,37.125,115.625,0.0363630479561418,3,0.5,mixed sign
ssp126,SSP1-2.6,37.125,115.875,0.0136350256840982,3,0.5,mixed sign
ssp126,SSP1-2.6,37.125,116.125,0.2088477556823322,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.125,116.375,0.236313976398705,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.125,116.625,0.321895654644825,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.125,116.875,0.4537233419875619,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.125,117.125,0.5857769657917471,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,113.875,-0.0137840806099021,3,0.5,mixed sign
ssp126,SSP1-2.6,37.375,114.125,-0.0137840806098132,3,0.5,mixed sign
ssp126,SSP1-2.6,37.375,114.375,0.0223318553036637,3,0.5,mixed sign
ssp126,SSP1-2.6,37.375,114.625,-0.1048730307346117,3,0.5,mixed sign
ssp126,SSP1-2.6,37.375,114.875,-0.2038101663889957,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,115.125,-0.2038101663890081,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,115.375,-0.036914874155836,3,0.5,mixed sign
ssp126,SSP1-2.6,37.375,115.625,0.0187168945756521,3,0.5,mixed sign
ssp126,SSP1-2.6,37.375,115.875,0.0136350256841533,3,0.5,mixed sign
ssp126,SSP1-2.6,37.375,116.125,0.1912016023019651,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,116.375,0.2249317341113492,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,116.625,0.3261221210744631,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,116.875,0.4581757448788988,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,117.125,0.5902293686830413,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,117.375,0.5902293686831843,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,117.625,0.2380693408436673,3,0.5,mixed sign
ssp126,SSP1-2.6,37.375,117.875,0.2380693408435203,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,113.875,-0.0593799665942027,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,114.125,-0.0673910215673654,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,114.375,0.0223318553037152,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,114.625,-0.104873030595054,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,114.875,-0.203810166388962,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,115.125,-0.2038101663890099,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,115.375,-0.0369148745743483,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,115.625,0.0187168945758093,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,115.875,-0.0147594014280185,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,116.125,0.1630917620999348,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,116.375,0.1968218941630137,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,116.625,0.2977276939624689,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,116.875,0.428415419850717,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,117.125,0.1587947069511841,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,117.375,0.1632840395689125,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,117.625,-0.188875988270559,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,117.875,-0.1933653208882075,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,118.125,-1.485001379263915,5,0.8333333333333334,robust drying (>=5/6)
